"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
118.937974798889,23.1266380583692,4.35442727598067,5.31106310718228,1.0898757893276e-07,4.70992002109502e-05,"ENST00000612742.5"
120.340241476489,10.4575353917123,2.38480781172413,4.38506421368686,1.15951568654438e-05,0.00282143594015499,"ENST00000695912.1"
32.8082824800397,8.58200257272161,2.41150358102919,3.55877662394304,0.000372586238958455,0.0429870128531701,"ENST00000698667.1"
115.974619810351,-10.1969318522256,2.41254751495974,-4.22662425879549,2.37223297538016e-05,0.00508514496416908,"ENST00000264110.7"
85.6182666717435,22.6873420141403,4.2363818869293,5.35535809086016,8.53871404239241e-08,4.54813789336502e-05,"ENST00000359218.10"
184.925615460614,11.077206163634,2.3678610611523,4.67814870786521,2.89476584259474e-06,0.000814439354432944,"ENST00000361099.8"
120.041624123367,-23.7075853869295,4.34798213144225,-5.45254894574867,4.96528992827994e-08,4.43178734655925e-05,"ENST00000673777.1"
654.724840742732,-25.9922257975935,4.52887368359789,-5.73922516137487,9.5110698252657e-09,4.43178734655925e-05,"ENST00000426480.2"
88.9489543912392,22.7409255566883,4.23963066852864,5.36389306868103,8.14471317001337e-08,4.47062999668686e-05,"ENST00000684175.1"
69.1458218133457,9.6583061473318,2.38847159849778,4.04371823110911,5.26101409925352e-05,0.00983372735735556,"ENST00000683338.1"
50.1397993324683,-8.98678752615629,2.39523078330344,-3.75195057979421,0.000175464057782547,0.0248776717515891,"ENST00000683001.1"
149.202856006791,10.7669860173684,2.35829480702842,4.56558102289823,4.98112756476201e-06,0.00133059775555138,"ENST00000446179.5"
90.3255063431665,10.0425697941895,2.42065658883675,4.14869661417584,3.34373595646193e-05,0.00656819173207699,"ENST00000233072.10"
114.41891930503,23.0906866827894,4.26265168966962,5.41697712218637,6.0615093138303e-08,4.43178734655925e-05,"ENST00000679558.1"
56.7129568032533,-9.16482324213719,2.36766635998998,-3.87082546637862,0.000108467433277909,0.0174383996376172,"ENST00000677259.1"
103.497143736307,-23.5070671618758,4.3016375896427,-5.46467866527741,4.63746091224062e-08,4.43178734655925e-05,"ENST00000344528.8"
85.0623280996745,-9.74951957481519,2.34006686642179,-4.16634230188611,3.09525833511912e-05,0.00626227565561048,"ENST00000485344.6"
47.4998466804853,9.11569500465368,2.37932157167599,3.83121605468091,0.000127511471626076,0.0195683016641165,"ENST00000419534.2"
84.324446529243,22.666053227668,4.32561382925574,5.23996226255081,1.60609438009645e-07,5.65651827926937e-05,"ENST00000402198.7"
222.153392707076,-11.1345265917606,2.30945238763704,-4.82128432323002,1.42636882980678e-06,0.000421043813209466,"ENST00000406341.5"
94.2666301811625,21.4621741408181,4.33439193068509,4.95159978240035,7.36058615618644e-07,0.000224639267554257,"ENST00000693312.1"
83.8370256970333,-9.72831423617379,2.59143108947965,-3.75403161429509,0.000174012902005595,0.0248776717515891,"ENST00000425241.6"
389.198457852288,12.150520353328,2.30227669139554,5.27761080965594,1.30879063052355e-07,5.16055190293807e-05,"ENST00000434031.6"
90.2161109155656,22.7602234956635,4.33086173217238,5.25535676343259,1.47737798312869e-07,5.54211675490477e-05,"ENST00000354811.5"
133.667135764695,23.306899192438,4.36522421777168,5.33922154503565,9.33465194685782e-08,4.67624564110137e-05,"ENST00000435706.6"
71.5713049814009,-9.50063098284254,2.39999732243769,-3.9586006592677,7.539016719954e-05,0.0130111867155014,"ENST00000417874.6"
126.670784305937,23.2308658919566,4.36019842751057,5.32793777122207,9.93341428808088e-08,4.67624564110137e-05,"ENST00000454389.6"
52.5916529034693,-9.05548274879629,2.49001774701632,-3.63671413974743,0.000276138089436281,0.0345091753782456,"ENST00000440156.5"
86.7549728926518,-23.265662336003,4.32029551078968,-5.3852016089868,7.23634907067771e-08,4.47062999668686e-05,"ENST00000338970.10"
79.1540840289452,-23.1388166492202,4.31334527098315,-5.36447123880397,8.11866942653907e-08,4.47062999668686e-05,"ENST00000465449.5"
299.174126333529,24.4281802803591,4.36613897494595,5.5949158788885,2.20728764872376e-08,4.43178734655925e-05,"ENST00000678200.1"
57.5612270026177,-9.18610946894118,2.36023896105401,-3.89202518072109,9.94109241983713e-05,0.0165233191208364,"ENST00000429770.5"
45.002391133579,-8.83105717202987,2.37837190297823,-3.71306823839094,0.00020476164862013,0.027583589767608,"ENST00000416658.5"
92.3417629743103,-23.3511656580142,4.29179700252576,-5.44088307165316,5.30171051937199e-08,4.43178734655925e-05,"ENST00000493452.5"
189.610187434624,11.1130301190554,2.31201642062074,4.80663978851487,1.53488174651789e-06,0.000450612918832336,"ENST00000490574.6"
123.797582637129,-10.2910667434366,2.37251605562148,-4.33761732362266,1.44035652007173e-05,0.00339766894575349,"ENST00000675499.1"
54.3153132338631,-9.10201868480394,2.48807870177529,-3.65825191876346,0.000253941379920497,0.0325063019002969,"ENST00000314400.10"
88.743194818985,22.7387133480734,4.32956201453774,5.25196619697827,1.50484084374553e-07,5.56780805056781e-05,"ENST00000614479.5"
108.491155236828,10.306839151849,2.58964147704398,3.98002551442529,6.89078720982404e-05,0.0121644913165845,"ENST00000393304.5"
55.8892194189593,-9.14388800826621,2.42130847257212,-3.77642423997005,0.000159095920972542,0.0234814277459446,"ENST00000417226.6"
79.7403143357579,-23.1531344677369,4.28002228525748,-5.40958269013873,6.31717776495423e-08,4.43178734655925e-05,"ENST00000428331.6"
78.9629324279755,9.84953696810029,2.35281845853314,4.18627154695181,2.8357406962244e-05,0.00580770583248467,"ENST00000469044.6"
98.8993977455276,-9.96713873592146,2.37337892166716,-4.1995564403682,2.67438362976209e-05,0.00559951663938442,"ENST00000488497.7"
97.9658721454168,-9.95303345194178,2.66556299887058,-3.73393292755001,0.000188512716699214,0.026268459892941,"ENST00000676866.1"
79.905698239501,21.8809014936725,4.32159742587462,5.06315126963594,4.12382377050849e-07,0.000128765801305837,"ENST00000392692.8"
56.9750564192432,-9.17147069840752,2.36676606323762,-3.87510656032537,0.000106578050281065,0.0172890081025011,"ENST00000704384.1"
157.608263880114,10.8459955266893,2.38665278944093,4.54443795707292,5.50820278450249e-06,0.00142689175872013,"ENST00000435046.7"
138.909270183675,22.1424696671594,4.2819315217829,5.17114053658189,2.32669494584169e-07,7.48129370710848e-05,"ENST00000413967.5"
55.1997433421141,-9.12550177015646,2.39062433857372,-3.8172044109619,0.00013497234216079,0.0204231679304866,"ENST00000443489.5"
82.942306845842,-9.71339170860278,2.45933106995488,-3.94960720305988,7.82795459749063e-05,0.0133393778991119,"ENST00000468362.5"
93.5695629083888,-23.3698064715952,4.32634200886527,-5.40174734769171,6.59948586120118e-08,4.47062999668686e-05,"ENST00000169298.8"
221.67387253539,23.9969864832624,4.41602392926164,5.43407075406739,5.50827227406241e-08,4.43178734655925e-05,"ENST00000414139.6"
35.6287763093379,-8.49414466089507,2.40157833017528,-3.53690094308734,0.000404851478982592,0.0447232557119849,"ENST00000428425.1"
219.600761035761,-11.1176978881593,2.65588292726357,-4.18606474480944,2.83832418181742e-05,0.00580770583248467,"ENST00000382891.9"
